Time,requests,K6 VUs,response
2025-01-01 00:00:00,235,12,67.5
2025-01-01 00:00:15,619,24,74.9
2025-01-01 00:00:30,1037,36,78.9
2025-01-01 00:00:45,1440,49,83.4
2025-01-01 00:01:00,1631,50,84.8
2025-01-01 00:01:15,1655,50,85.6
2025-01-01 00:01:30,1678,50,86.6
2025-01-01 00:01:45,1677,50,87.0
2025-01-01 00:02:00,1695,61,87.9
2025-01-01 00:02:15,1727,74,89.2
2025-01-01 00:02:30,1801,86,90.3
2025-01-01 00:02:45,1837,99,91.8
2025-01-01 00:03:00,1581,100,93.8
2025-01-01 00:03:15,1257,100,96.7
2025-01-01 00:03:30,931,100,99.2
2025-01-01 00:03:45,664,100,101
2025-01-01 00:04:00,701,123,104
2025-01-01 00:04:15,710,148,112
2025-01-01 00:04:30,717,173,171
2025-01-01 00:04:45,711,198,264
2025-01-01 00:05:00,702,200,301
2025-01-01 00:05:15,704,200,367
2025-01-01 00:05:30,712,200,395
2025-01-01 00:05:45,729,200,399
2025-01-01 00:06:00,728,246,404
2025-01-01 00:06:15,716,296,467
2025-01-01 00:06:30,698,346,498
2025-01-01 00:06:45,677,396,530
2025-01-01 00:07:00,675,400,592
2025-01-01 00:07:15,689,400,599
2025-01-01 00:07:30,707,400,605
2025-01-01 00:07:45,727,400,631
2025-01-01 00:08:00,710,446,672
2025-01-01 00:08:15,694,496,697
2025-01-01 00:08:30,704,546,704
2025-01-01 00:08:45,704,596,760
2025-01-01 00:09:00,716,600,797
2025-01-01 00:09:15,722,600,806
2025-01-01 00:09:30,712,600,872
2025-01-01 00:09:45,706,600,898
2025-01-01 00:10:00,715,329,899
