Time,requests,K6 VUs,response
2025-01-01 00:00:00,90.8,8,72.6
2025-01-01 00:00:15,310,20,87.2
2025-01-01 00:00:30,559,32,90.8
2025-01-01 00:00:45,858,45,92.3
2025-01-01 00:01:00,1278,50,91.8
2025-01-01 00:01:15,1600,50,91.1
2025-01-01 00:01:30,1912,50,90.7
2025-01-01 00:01:45,2090,50,90.2
2025-01-01 00:02:00,2145,57,90.0
2025-01-01 00:02:15,2177,69,90.1
2025-01-01 00:02:30,2213,82,90.4
2025-01-01 00:02:45,2249,94,91.1
2025-01-01 00:03:00,2217,100,91.8
2025-01-01 00:03:15,1814,100,93.2
2025-01-01 00:03:30,1404,100,94.9
2025-01-01 00:03:45,991,100,96.9
2025-01-01 00:04:00,779,114,99.1
2025-01-01 00:04:15,805,139,102
2025-01-01 00:04:30,835,164,110
2025-01-01 00:04:45,873,189,198
2025-01-01 00:05:00,894,200,214
2025-01-01 00:05:15,879,200,294
2025-01-01 00:05:30,877,200,299
2025-01-01 00:05:45,872,200,302
2025-01-01 00:06:00,883,229,307
2025-01-01 00:06:15,897,279,386
2025-01-01 00:06:30,889,329,397
2025-01-01 00:06:45,875,383,404
2025-01-01 00:07:00,848,400,483
2025-01-01 00:07:15,820,400,496
2025-01-01 00:07:30,813,400,501
2025-01-01 00:07:45,802,400,507
2025-01-01 00:08:00,788,429,579
2025-01-01 00:08:15,799,483,595
2025-01-01 00:08:30,813,529,600
2025-01-01 00:08:45,836,579,611
2025-01-01 00:09:00,875,600,693
2025-01-01 00:09:15,860,600,701
2025-01-01 00:09:30,871,600,709
2025-01-01 00:09:45,872,600,779
2025-01-01 00:10:00,878,429,791
2025-01-01 00:10:15,896,125,790
