Time,requests,K6 VUs,response
2025-01-01 00:00:15,420,16,73.7
2025-01-01 00:00:30,885,28,79.3
2025-01-01 00:00:45,1393,40,82.1
2025-01-01 00:01:00,1882,50,84.2
2025-01-01 00:01:15,2034,50,86.0
2025-01-01 00:01:30,2106,50,86.5
2025-01-01 00:01:45,2129,50,86.9
2025-01-01 00:02:00,2139,53,87.2
2025-01-01 00:02:15,2157,65,87.6
2025-01-01 00:02:30,2188,78,88.2
2025-01-01 00:02:45,2228,90,89.1
2025-01-01 00:03:00,2277,100,90.3
2025-01-01 00:03:15,2306,100,91.3
2025-01-01 00:03:30,1916,100,92.6
2025-01-01 00:03:45,1503,100,94.5
2025-01-01 00:04:00,1085,106,96.2
2025-01-01 00:04:15,780,131,98.3
2025-01-01 00:04:30,804,156,102
2025-01-01 00:04:45,818,183,108
2025-01-01 00:05:00,837,200,193
2025-01-01 00:05:15,876,200,204
2025-01-01 00:05:30,863,200,288
2025-01-01 00:05:45,865,200,295
2025-01-01 00:06:00,865,213,298
2025-01-01 00:06:15,851,263,304
2025-01-01 00:06:30,817,313,388
2025-01-01 00:06:45,802,363,399
2025-01-01 00:07:00,776,400,410
2025-01-01 00:07:15,783,400,491
2025-01-01 00:07:30,789,400,498
2025-01-01 00:07:45,803,400,502
2025-01-01 00:08:00,799,416,506
2025-01-01 00:08:15,800,463,564
2025-01-01 00:08:30,804,513,596
2025-01-01 00:08:45,804,563,603
2025-01-01 00:09:00,775,600,692
2025-01-01 00:09:15,742,600,702
2025-01-01 00:09:30,718,600,787
2025-01-01 00:09:45,722,600,797
2025-01-01 00:10:00,754,536,802
2025-01-01 00:10:15,764,228,803
