Time,POST_requests,K6 VUs,GET_brands_response,GET_types_response,POST_response
2025-01-01 00:00:00,384,12,1.25,2.08,11.0
2025-01-01 00:00:15,1076,24,1.25,2.08,17.4
2025-01-01 00:00:30,1788,36,1.25,2.08,23.0
2025-01-01 00:00:45,2512,49,1.25,2.08,26.8
2025-01-01 00:01:00,2808,50,1.25,2.08,30.0
2025-01-01 00:01:15,2856,50,1.25,2.08,31.9
2025-01-01 00:01:30,2869,50,1.25,2.08,32.4
2025-01-01 00:01:45,2859,50,1.25,2.08,34.3
2025-01-01 00:02:00,2826,61,1.25,2.08,40.6
2025-01-01 00:02:15,2814,74,1.25,2.08,51.1
2025-01-01 00:02:30,2801,86,1.25,2.08,51.7
2025-01-01 00:02:45,2786,99,1.25,2.08,58.5
2025-01-01 00:03:00,2333,100,1.25,2.08,63.4
2025-01-01 00:03:15,1705,100,1.25,2.08,74.9
2025-01-01 00:03:30,1405,100,1.25,2.08,84.9
2025-01-01 00:03:45,1076,100,1.25,2.08,88.0
2025-01-01 00:04:00,1107,123,1.25,2.08,91.3
2025-01-01 00:04:15,1104,148,1.25,2.08,97.7
2025-01-01 00:04:30,785,173,1.25,2.08,105
2025-01-01 00:04:45,558,198,1.25,2.08,196
2025-01-01 00:05:00,560,200,,,207
2025-01-01 00:05:15,552,200,,,294
2025-01-01 00:05:30,542,200,,,300
2025-01-01 00:05:45,534,200,,,311
2025-01-01 00:06:00,539,246,,,389
2025-01-01 00:06:15,548,296,,,397
2025-01-01 00:06:30,535,346,,,403
2025-01-01 00:06:45,546,396,,,485
2025-01-01 00:07:00,556,400,,,500
2025-01-01 00:07:15,548,400,,,506
2025-01-01 00:07:30,551,400,,,593
2025-01-01 00:07:45,556,400,,,600
2025-01-01 00:08:00,557,446,,,605
2025-01-01 00:08:15,568,496,,,690
2025-01-01 00:08:30,575,546,,,701
2025-01-01 00:08:45,580,596,,,791
2025-01-01 00:09:00,597,600,,,801
2025-01-01 00:09:15,604,600,,,873
2025-01-01 00:09:30,610,600,,,898
2025-01-01 00:09:45,603,600,,,904
2025-01-01 00:10:00,585,330,,,935
2025-01-01 00:10:15,574,21,,,932
