Time,requests,K6 VUs,response
2025-01-01 00:00:00,435,12,16.6
2025-01-01 00:00:15,890,24,26.5
2025-01-01 00:00:30,1352,36,38.1
2025-01-01 00:00:45,1804,49,43.6
2025-01-01 00:01:00,1852,50,47.3
2025-01-01 00:01:15,1872,50,50.1
2025-01-01 00:01:30,1920,50,54.1
2025-01-01 00:01:45,1961,50,57.9
2025-01-01 00:02:00,1964,62,61.7
2025-01-01 00:02:15,1960,74,64.2
2025-01-01 00:02:30,1931,86,66.5
2025-01-01 00:02:45,1829,99,71.1
2025-01-01 00:03:00,1498,100,74.8
2025-01-01 00:03:15,1170,100,78.4
2025-01-01 00:03:30,817,100,82.9
2025-01-01 00:03:45,654,100,92.3
2025-01-01 00:04:00,636,123,97.2
2025-01-01 00:04:15,663,148,102
2025-01-01 00:04:30,693,173,197
2025-01-01 00:04:45,750,198,252
2025-01-01 00:05:00,793,200,298
2025-01-01 00:05:15,781,200,306
2025-01-01 00:05:30,774,200,350
2025-01-01 00:05:45,748,200,391
2025-01-01 00:06:00,737,249,398
2025-01-01 00:06:15,722,296,405
2025-01-01 00:06:30,723,346,453
2025-01-01 00:06:45,707,396,499
2025-01-01 00:07:00,725,400,531
2025-01-01 00:07:15,726,400,555
2025-01-01 00:07:30,704,400,597
2025-01-01 00:07:45,729,400,600
2025-01-01 00:08:00,732,446,605
2025-01-01 00:08:15,723,496,651
2025-01-01 00:08:30,731,546,698
2025-01-01 00:08:45,718,596,742
2025-01-01 00:09:00,724,600,797
2025-01-01 00:09:15,719,600,825
2025-01-01 00:09:30,650,600,895
2025-01-01 00:09:45,570,600,904
2025-01-01 00:10:00,549,326,947
