Time,POST_requests,K6 VUs,GET_brands_response,GET_types_response,POST_response
2025-01-01 00:00:00,351,12,4.54,52.1,25.1
2025-01-01 00:00:15,850,24,4.54,52.1,43.2
2025-01-01 00:00:30,1397,36,4.54,52.1,69.5
2025-01-01 00:00:45,1998,49,4.54,52.1,72.9
2025-01-01 00:01:00,2261,50,4.54,52.1,76.7
2025-01-01 00:01:15,2407,50,4.54,52.1,78.0
2025-01-01 00:01:30,2504,50,4.54,52.1,77.2
2025-01-01 00:01:45,2588,50,4.54,52.1,75.8
2025-01-01 00:02:00,2638,61,4.54,52.1,75.2
2025-01-01 00:02:15,2670,74,4.54,52.1,78.0
2025-01-01 00:02:30,2698,86,4.54,52.1,80.5
2025-01-01 00:02:45,2500,99,4.54,52.1,83.2
2025-01-01 00:03:00,1890,100,4.54,52.1,85.2
2025-01-01 00:03:15,1268,100,4.54,52.1,87.6
2025-01-01 00:03:30,635,100,4.54,52.1,92.0
2025-01-01 00:03:45,435,100,4.54,52.1,98.9
2025-01-01 00:04:00,420,123,4.54,52.1,108
2025-01-01 00:04:15,426,148,4.54,52.1,195
2025-01-01 00:04:30,445,173,4.54,52.1,247
2025-01-01 00:04:45,470,198,,,297
2025-01-01 00:05:00,481,200,,,333
2025-01-01 00:05:15,488,200,,,379
2025-01-01 00:05:30,483,200,,,398
2025-01-01 00:05:45,484,200,,,401
2025-01-01 00:06:00,490,246,,,434
2025-01-01 00:06:15,472,296,,,477
2025-01-01 00:06:30,462,346,,,500
2025-01-01 00:06:45,459,396,,,548
2025-01-01 00:07:00,456,400,,,598
2025-01-01 00:07:15,465,400,,,646
2025-01-01 00:07:30,470,400,,,698
2025-01-01 00:07:45,468,400,,,727
2025-01-01 00:08:00,477,446,,,795
2025-01-01 00:08:15,472,496,,,844
2025-01-01 00:08:30,473,546,,,899
2025-01-01 00:08:45,461,596,,,951
2025-01-01 00:09:00,458,600,,,1000
2025-01-01 00:09:15,468,600,,,1052
2025-01-01 00:09:30,465,600,,,1103
2025-01-01 00:09:45,463,600,,,1155
2025-01-01 00:10:00,457,334,,,1197
