Time,requests,K6 VUs,response
2025-01-01 00:00:00,563,16,16.1
2025-01-01 00:00:15,1053,28,35.6
2025-01-01 00:00:30,1554,40,54.7
2025-01-01 00:00:45,1960,50,61.3
2025-01-01 00:01:00,2036,50,64.8
2025-01-01 00:01:15,2083,50,67.6
2025-01-01 00:01:30,2104,50,68.6
2025-01-01 00:01:45,2085,53,68.7
2025-01-01 00:02:00,2042,65,69.3
2025-01-01 00:02:15,2005,78,70.5
2025-01-01 00:02:30,2003,90,72.0
2025-01-01 00:02:45,2000,100,74.0
2025-01-01 00:03:00,2000,100,76.5
2025-01-01 00:03:15,2014,100,79.0
2025-01-01 00:03:30,2004,100,79.6
2025-01-01 00:03:45,2019,106,80.4
2025-01-01 00:04:00,2017,131,82.0
2025-01-01 00:04:15,1998,158,85.4
2025-01-01 00:04:30,1987,181,90.5
2025-01-01 00:04:45,1949,200,98.2
2025-01-01 00:05:00,1949,200,105
2025-01-01 00:05:15,1947,200,112
2025-01-01 00:05:30,1950,200,116
2025-01-01 00:05:45,1967,213,120
2025-01-01 00:06:00,1945,263,128
2025-01-01 00:06:15,1916,313,143
2025-01-01 00:06:30,1876,363,166
2025-01-01 00:06:45,1864,400,185
2025-01-01 00:07:00,1862,400,201
2025-01-01 00:07:15,1869,400,213
2025-01-01 00:07:30,1875,400,221
2025-01-01 00:07:45,1884,413,227
2025-01-01 00:08:00,1894,466,237
2025-01-01 00:08:15,1927,513,249
2025-01-01 00:08:30,1997,563,263
2025-01-01 00:08:45,2091,600,278
2025-01-01 00:09:00,2171,600,287
2025-01-01 00:09:15,2239,600,293
2025-01-01 00:09:30,2242,600,297
2025-01-01 00:09:45,2230,526,299
2025-01-01 00:10:00,2151,222,299
