"Time","requests | GET |http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200","K6 VUs","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200"
2025-10-06 23:39:30,,4,1.92
2025-10-06 23:39:45,563,16,16.1
2025-10-06 23:40:00,1053,28,35.6
2025-10-06 23:40:15,1554,40,54.7
2025-10-06 23:40:30,1960,50,61.3
2025-10-06 23:40:45,2036,50,64.8
2025-10-06 23:41:00,2083,50,67.6
2025-10-06 23:41:15,2104,50,68.6
2025-10-06 23:41:30,2085,53,68.7
2025-10-06 23:41:45,2042,65,69.3
2025-10-06 23:42:00,2005,78,70.5
2025-10-06 23:42:15,2003,90,72.0
2025-10-06 23:42:30,2000,100,74.0
2025-10-06 23:42:45,2000,100,76.5
2025-10-06 23:43:00,2014,100,79.0
2025-10-06 23:43:15,2004,100,79.6
2025-10-06 23:43:30,2019,106,80.4
2025-10-06 23:43:45,2017,131,82.0
2025-10-06 23:44:00,1998,158,85.4
2025-10-06 23:44:15,1987,181,90.5
2025-10-06 23:44:30,1949,200,98.2
2025-10-06 23:44:45,1949,200,105
2025-10-06 23:45:00,1947,200,112
2025-10-06 23:45:15,1950,200,116
2025-10-06 23:45:30,1967,213,120
2025-10-06 23:45:45,1945,263,128
2025-10-06 23:46:00,1916,313,143
2025-10-06 23:46:15,1876,363,166
2025-10-06 23:46:30,1864,400,185
2025-10-06 23:46:45,1862,400,201
2025-10-06 23:47:00,1869,400,213
2025-10-06 23:47:15,1875,400,221
2025-10-06 23:47:30,1884,413,227
2025-10-06 23:47:45,1894,466,237
2025-10-06 23:48:00,1927,513,249
2025-10-06 23:48:15,1997,563,263
2025-10-06 23:48:30,2091,600,278
2025-10-06 23:48:45,2171,600,287
2025-10-06 23:49:00,2239,600,293
2025-10-06 23:49:15,2242,600,297
2025-10-06 23:49:30,2230,526,299
2025-10-06 23:49:45,2151,222,299
2025-10-06 23:50:00,1949,,
2025-10-06 23:50:15,1385,,
2025-10-06 23:50:30,854,,
2025-10-06 23:50:45,243,,
