Time,requests,K6 VUs,response
2025-01-01 00:00:00,109,8,13.7
2025-01-01 00:00:15,378,20,72.6
2025-01-01 00:00:30,892,32,72.7
2025-01-01 00:00:45,1544,45,73.0
2025-01-01 00:01:00,2228,50,75.9
2025-01-01 00:01:15,2661,50,75.9
2025-01-01 00:01:30,2817,50,75.9
2025-01-01 00:01:45,2855,50,76.0
2025-01-01 00:02:00,2869,57,76.0
2025-01-01 00:02:15,2878,69,76.9
2025-01-01 00:02:30,2856,82,79.6
2025-01-01 00:02:45,2841,94,83.2
2025-01-01 00:03:00,2795,100,85.9
2025-01-01 00:03:15,2791,100,87.0
2025-01-01 00:03:30,2794,100,87.7
2025-01-01 00:03:45,2819,100,88.4
2025-01-01 00:04:00,2802,114,89.0
2025-01-01 00:04:15,2731,131,90.0
2025-01-01 00:04:30,2658,164,91.0
2025-01-01 00:04:45,2546,189,93.2
2025-01-01 00:05:00,2459,200,96.2
2025-01-01 00:05:15,2422,200,98.0
2025-01-01 00:05:30,2429,200,98.9
2025-01-01 00:05:45,2486,200,100
2025-01-01 00:06:00,2477,229,101
2025-01-01 00:06:15,2403,279,103
2025-01-01 00:06:30,2314,329,111
2025-01-01 00:06:45,2162,379,126
2025-01-01 00:07:00,2076,400,178
2025-01-01 00:07:15,2072,400,196
2025-01-01 00:07:30,2068,400,200
2025-01-01 00:07:45,2084,400,203
2025-01-01 00:08:00,2113,429,208
2025-01-01 00:08:15,2117,479,221
2025-01-01 00:08:30,2124,529,242
2025-01-01 00:08:45,2131,579,272
2025-01-01 00:09:00,2121,600,293
2025-01-01 00:09:15,2121,600,297
2025-01-01 00:09:30,2097,600,301
2025-01-01 00:09:45,2106,600,304
2025-01-01 00:10:00,2119,424,306
2025-01-01 00:10:15,2174,124,305
2025-01-01 00:10:30,1937,,
2025-01-01 00:10:45,1299,,
2025-01-01 00:11:00,738,,
2025-01-01 00:11:15,5.60,,
