"Time","requests | POST |http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 201","K6 VUs","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/catalogbrands?api-version=1.0 | 200","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/catalogtypes?api-version=1.0 | 200","response | POST | http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 201"
2025-10-07 11:52:00,109,8,13.6,58.0,13.7
2025-10-07 11:52:15,378,20,13.6,58.0,72.6
2025-10-07 11:52:30,892,32,13.6,58.0,72.7
2025-10-07 11:52:45,1544,45,13.6,58.0,73.0
2025-10-07 11:53:00,2228,50,13.6,58.0,75.9
2025-10-07 11:53:15,2661,50,13.6,58.0,75.9
2025-10-07 11:53:30,2817,50,13.6,58.0,75.9
2025-10-07 11:53:45,2855,50,13.6,58.0,76.0
2025-10-07 11:54:00,2869,57,13.6,58.0,76.0
2025-10-07 11:54:15,2878,69,13.6,58.0,76.9
2025-10-07 11:54:30,2856,82,13.6,58.0,79.6
2025-10-07 11:54:45,2841,94,13.6,58.0,83.2
2025-10-07 11:55:00,2795,100,13.6,58.0,85.9
2025-10-07 11:55:15,2791,100,13.6,58.0,87.0
2025-10-07 11:55:30,2794,100,13.6,58.0,87.7
2025-10-07 11:55:45,2819,100,13.6,58.0,88.4
2025-10-07 11:56:00,2802,114,13.6,58.0,89.0
2025-10-07 11:56:15,2731,131,13.6,58.0,90.0
2025-10-07 11:56:30,2658,164,13.6,58.0,91.0
2025-10-07 11:56:45,2546,189,13.6,58.0,93.2
2025-10-07 11:57:00,2459,200,,,96.2
2025-10-07 11:57:15,2422,200,,,98.0
2025-10-07 11:57:30,2429,200,,,98.9
2025-10-07 11:57:45,2486,200,,,100
2025-10-07 11:58:00,2477,229,,,101
2025-10-07 11:58:15,2403,279,,,103
2025-10-07 11:58:30,2314,329,,,111
2025-10-07 11:58:45,2162,379,,,126
2025-10-07 11:59:00,2076,400,,,178
2025-10-07 11:59:15,2072,400,,,196
2025-10-07 11:59:30,2068,400,,,200
2025-10-07 11:59:45,2084,400,,,203
2025-10-07 12:00:00,2113,429,,,208
2025-10-07 12:00:15,2117,479,,,221
2025-10-07 12:00:30,2124,529,,,242
2025-10-07 12:00:45,2131,579,,,272
2025-10-07 12:01:00,2121,600,,,293
2025-10-07 12:01:15,2121,600,,,297
2025-10-07 12:01:30,2097,600,,,301
2025-10-07 12:01:45,2106,600,,,304
2025-10-07 12:02:00,2119,424,,,306
2025-10-07 12:02:15,2174,124,,,305
2025-10-07 12:02:30,1937,,,,
2025-10-07 12:02:45,1299,,,,
2025-10-07 12:03:00,738,,,,
2025-10-07 12:03:15,5.60,,,,
