Time,requests,K6 VUs,response
2025-01-01 00:00:00,499,12,3.43
2025-01-01 00:00:15,1207,24,13.0
2025-01-01 00:00:30,1951,33,19.9
2025-01-01 00:00:45,2702,45,33.0
2025-01-01 00:01:00,2918,50,43.3
2025-01-01 00:01:15,3011,50,44.5
2025-01-01 00:01:30,3076,50,45.8
2025-01-01 00:01:45,3144,50,46.5
2025-01-01 00:02:00,3164,61,47.5
2025-01-01 00:02:15,3158,74,48.8
2025-01-01 00:02:30,3158,86,49.6
2025-01-01 00:02:45,3156,99,51.2
2025-01-01 00:03:00,3167,100,52.6
2025-01-01 00:03:15,3175,100,53.8
2025-01-01 00:03:30,3195,100,54.8
2025-01-01 00:03:45,3195,100,55.6
2025-01-01 00:04:00,3177,123,56.6
2025-01-01 00:04:15,3131,148,58.6
2025-01-01 00:04:30,3056,173,60.8
2025-01-01 00:04:45,3008,198,64.3
2025-01-01 00:05:00,2981,200,70.2
2025-01-01 00:05:15,2991,200,77.0
2025-01-01 00:05:30,3024,200,82.4
2025-01-01 00:05:45,3008,200,87.3
2025-01-01 00:06:00,2999,246,91.2
2025-01-01 00:06:15,2975,296,95.7
2025-01-01 00:06:30,2982,346,99.5
2025-01-01 00:06:45,3020,396,104
2025-01-01 00:07:00,3094,400,109
2025-01-01 00:07:15,3190,400,114
2025-01-01 00:07:30,3260,400,118
2025-01-01 00:07:45,3273,400,123
2025-01-01 00:08:00,3284,446,135
2025-01-01 00:08:15,3238,496,161
2025-01-01 00:08:30,3214,546,175
2025-01-01 00:08:45,3238,596,185
2025-01-01 00:09:00,3227,600,192
2025-01-01 00:09:15,3205,600,197
2025-01-01 00:09:30,3202,600,199
2025-01-01 00:09:45,3201,600,200
2025-01-01 00:10:00,3241,646,202
2025-01-01 00:10:15,3225,696,204
2025-01-01 00:10:30,3230,746,207
2025-01-01 00:10:45,3197,796,215
2025-01-01 00:11:00,3192,800,224
2025-01-01 00:11:15,3182,800,240
2025-01-01 00:11:30,3188,800,265
2025-01-01 00:11:45,3195,800,271
2025-01-01 00:12:00,3186,846,275
2025-01-01 00:12:15,3189,879,279
2025-01-01 00:12:30,3174,946,287
2025-01-01 00:12:45,3176,996,293
2025-01-01 00:13:00,3174,1000,297
2025-01-01 00:13:15,3200,1000,300
2025-01-01 00:13:30,3233,1000,303
2025-01-01 00:13:45,3294,1000,305
2025-01-01 00:14:00,3296,541,306
2025-01-01 00:14:15,3265,39,305
