"Time","requests | GET |http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200","K6 VUs","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200"
2025-12-15 19:41:45,499,12,3.43
2025-12-15 19:42:00,1207,24,13.0
2025-12-15 19:42:15,1951,33,19.9
2025-12-15 19:42:30,2702,45,33.0
2025-12-15 19:42:45,2918,50,43.3
2025-12-15 19:43:00,3011,50,44.5
2025-12-15 19:43:15,3076,50,45.8
2025-12-15 19:43:30,3144,50,46.5
2025-12-15 19:43:45,3164,61,47.5
2025-12-15 19:44:00,3158,74,48.8
2025-12-15 19:44:15,3158,86,49.6
2025-12-15 19:44:30,3156,99,51.2
2025-12-15 19:44:45,3167,100,52.6
2025-12-15 19:45:00,3175,100,53.8
2025-12-15 19:45:15,3195,100,54.8
2025-12-15 19:45:30,3195,100,55.6
2025-12-15 19:45:45,3177,123,56.6
2025-12-15 19:46:00,3131,148,58.6
2025-12-15 19:46:15,3056,173,60.8
2025-12-15 19:46:30,3008,198,64.3
2025-12-15 19:46:45,2981,200,70.2
2025-12-15 19:47:00,2991,200,77.0
2025-12-15 19:47:15,3024,200,82.4
2025-12-15 19:47:30,3008,200,87.3
2025-12-15 19:47:45,2999,246,91.2
2025-12-15 19:48:00,2975,296,95.7
2025-12-15 19:48:15,2982,346,99.5
2025-12-15 19:48:30,3020,396,104
2025-12-15 19:48:45,3094,400,109
2025-12-15 19:49:00,3190,400,114
2025-12-15 19:49:15,3260,400,118
2025-12-15 19:49:30,3273,400,123
2025-12-15 19:49:45,3284,446,135
2025-12-15 19:50:00,3238,496,161
2025-12-15 19:50:15,3214,546,175
2025-12-15 19:50:30,3238,596,185
2025-12-15 19:50:45,3227,600,192
2025-12-15 19:51:00,3205,600,197
2025-12-15 19:51:15,3202,600,199
2025-12-15 19:51:30,3201,600,200
2025-12-15 19:51:45,3241,646,202
2025-12-15 19:52:00,3225,696,204
2025-12-15 19:52:15,3230,746,207
2025-12-15 19:52:30,3197,796,215
2025-12-15 19:52:45,3192,800,224
2025-12-15 19:53:00,3182,800,240
2025-12-15 19:53:15,3188,800,265
2025-12-15 19:53:30,3195,800,271
2025-12-15 19:53:45,3186,846,275
2025-12-15 19:54:00,3189,879,279
2025-12-15 19:54:15,3174,946,287
2025-12-15 19:54:30,3176,996,293
2025-12-15 19:54:45,3174,1000,297
2025-12-15 19:55:00,3200,1000,300
2025-12-15 19:55:15,3233,1000,303
2025-12-15 19:55:30,3294,1000,305
2025-12-15 19:55:45,3296,541,306
2025-12-15 19:56:00,3265,39,305
2025-12-15 19:56:15,2515,,
2025-12-15 19:56:30,1675,,
2025-12-15 19:56:45,838,,
2025-12-15 19:57:00,4.70,,
