Time,POST_requests,K6 VUs,GET_brands_response,GET_types_response,POST_response
2025-01-01 00:00:00,,4,22.2,8.88,
2025-01-01 00:00:15,714,16,22.2,8.88,5.67
2025-01-01 00:00:30,1367,28,22.2,8.88,12.2
2025-01-01 00:00:45,1996,40,22.2,8.88,65.7
2025-01-01 00:01:00,2582,50,22.2,8.88,77.3
2025-01-01 00:01:15,2582,50,22.2,8.88,81.0
2025-01-01 00:01:30,2602,50,22.2,8.88,82.1
2025-01-01 00:01:45,2622,50,22.2,8.88,82.7
2025-01-01 00:02:00,2627,53,22.2,8.88,82.8
2025-01-01 00:02:15,2628,65,22.2,8.88,83.2
2025-01-01 00:02:30,2622,78,22.2,8.88,84.0
2025-01-01 00:02:45,2582,90,22.2,8.88,85.4
2025-01-01 00:03:00,2550,100,22.2,8.88,87.3
2025-01-01 00:03:15,2545,100,22.2,8.88,88.8
2025-01-01 00:03:30,2542,100,22.2,8.88,89.8
2025-01-01 00:03:45,2586,100,22.2,8.88,90.5
2025-01-01 00:04:00,2609,106,22.2,8.88,90.9
2025-01-01 00:04:15,2595,131,22.2,8.88,91.5
2025-01-01 00:04:30,2535,156,22.2,8.88,92.6
2025-01-01 00:04:45,2418,181,22.2,8.88,94.2
2025-01-01 00:05:00,2283,200,,,96.2
2025-01-01 00:05:15,2183,200,,,98.4
2025-01-01 00:05:30,2134,200,,,100
2025-01-01 00:05:45,2124,200,,,102
2025-01-01 00:06:00,2150,212,,,103
2025-01-01 00:06:15,2144,262,,,105
2025-01-01 00:06:30,2072,312,,,112
2025-01-01 00:06:45,1978,362,,,189
2025-01-01 00:07:00,1879,400,,,195
2025-01-01 00:07:15,1822,400,,,199
2025-01-01 00:07:30,1825,400,,,202
2025-01-01 00:07:45,1831,400,,,207
2025-01-01 00:08:00,1840,412,,,221
2025-01-01 00:08:15,1844,462,,,289
2025-01-01 00:08:30,1855,512,,,294
2025-01-01 00:08:45,1879,562,,,298
2025-01-01 00:09:00,1895,600,,,301
2025-01-01 00:09:15,1909,600,,,305
2025-01-01 00:09:30,1919,600,,,311
2025-01-01 00:09:45,1912,600,,,370
2025-01-01 00:10:00,1927,612,,,389
2025-01-01 00:10:15,1932,662,,,393
2025-01-01 00:10:30,1949,712,,,395
2025-01-01 00:10:45,1960,762,,,398
2025-01-01 00:11:00,1969,800,,,400
2025-01-01 00:11:15,1963,800,,,402
2025-01-01 00:11:30,1974,800,,,403
2025-01-01 00:11:45,1976,800,,,405
2025-01-01 00:12:00,1981,812,,,408
2025-01-01 00:12:15,1978,862,,,414
2025-01-01 00:12:30,1978,912,,,475
2025-01-01 00:12:45,1981,962,,,492
2025-01-01 00:13:00,1973,1000,,,496
2025-01-01 00:13:15,1971,1000,,,499
2025-01-01 00:13:30,1994,1000,,,500
2025-01-01 00:13:45,1996,1000,,,502
2025-01-01 00:14:00,2008,878,,,504
2025-01-01 00:14:15,2012,374,,,504
2025-01-01 00:14:30,2053,,,,
2025-01-01 00:14:45,1487,,,,
2025-01-01 00:15:00,978,,,,
2025-01-01 00:15:15,458,,,,
