"Time","requests | POST |http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 201","K6 VUs","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/catalogbrands?api-version=1.0 | 200","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/catalogtypes?api-version=1.0 | 200","response | POST | http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 201"
2025-12-15 23:20:45,,4,22.2,8.88,
2025-12-15 23:21:00,714,16,22.2,8.88,5.67
2025-12-15 23:21:15,1367,28,22.2,8.88,12.2
2025-12-15 23:21:30,1996,40,22.2,8.88,65.7
2025-12-15 23:21:45,2582,50,22.2,8.88,77.3
2025-12-15 23:22:00,2582,50,22.2,8.88,81.0
2025-12-15 23:22:15,2602,50,22.2,8.88,82.1
2025-12-15 23:22:30,2622,50,22.2,8.88,82.7
2025-12-15 23:22:45,2627,53,22.2,8.88,82.8
2025-12-15 23:23:00,2628,65,22.2,8.88,83.2
2025-12-15 23:23:15,2622,78,22.2,8.88,84.0
2025-12-15 23:23:30,2582,90,22.2,8.88,85.4
2025-12-15 23:23:45,2550,100,22.2,8.88,87.3
2025-12-15 23:24:00,2545,100,22.2,8.88,88.8
2025-12-15 23:24:15,2542,100,22.2,8.88,89.8
2025-12-15 23:24:30,2586,100,22.2,8.88,90.5
2025-12-15 23:24:45,2609,106,22.2,8.88,90.9
2025-12-15 23:25:00,2595,131,22.2,8.88,91.5
2025-12-15 23:25:15,2535,156,22.2,8.88,92.6
2025-12-15 23:25:30,2418,181,22.2,8.88,94.2
2025-12-15 23:25:45,2283,200,,,96.2
2025-12-15 23:26:00,2183,200,,,98.4
2025-12-15 23:26:15,2134,200,,,100
2025-12-15 23:26:30,2124,200,,,102
2025-12-15 23:26:45,2150,212,,,103
2025-12-15 23:27:00,2144,262,,,105
2025-12-15 23:27:15,2072,312,,,112
2025-12-15 23:27:30,1978,362,,,189
2025-12-15 23:27:45,1879,400,,,195
2025-12-15 23:28:00,1822,400,,,199
2025-12-15 23:28:15,1825,400,,,202
2025-12-15 23:28:30,1831,400,,,207
2025-12-15 23:28:45,1840,412,,,221
2025-12-15 23:29:00,1844,462,,,289
2025-12-15 23:29:15,1855,512,,,294
2025-12-15 23:29:30,1879,562,,,298
2025-12-15 23:29:45,1895,600,,,301
2025-12-15 23:30:00,1909,600,,,305
2025-12-15 23:30:15,1919,600,,,311
2025-12-15 23:30:30,1912,600,,,370
2025-12-15 23:30:45,1927,612,,,389
2025-12-15 23:31:00,1932,662,,,393
2025-12-15 23:31:15,1949,712,,,395
2025-12-15 23:31:30,1960,762,,,398
2025-12-15 23:31:45,1969,800,,,400
2025-12-15 23:32:00,1963,800,,,402
2025-12-15 23:32:15,1974,800,,,403
2025-12-15 23:32:30,1976,800,,,405
2025-12-15 23:32:45,1981,812,,,408
2025-12-15 23:33:00,1978,862,,,414
2025-12-15 23:33:15,1978,912,,,475
2025-12-15 23:33:30,1981,962,,,492
2025-12-15 23:33:45,1973,1000,,,496
2025-12-15 23:34:00,1971,1000,,,499
2025-12-15 23:34:15,1994,1000,,,500
2025-12-15 23:34:30,1996,1000,,,502
2025-12-15 23:34:45,2008,878,,,504
2025-12-15 23:35:00,2012,374,,,504
2025-12-15 23:35:15,2053,,,,
2025-12-15 23:35:30,1487,,,,
2025-12-15 23:35:45,978,,,,
2025-12-15 23:36:00,458,,,,
