"Time","requests | GET |http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200","K6 VUs","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200"
2025-10-12 14:43:30,420,12,16.8
2025-10-12 14:43:45,922,24,29.5
2025-10-12 14:44:00,1437,36,33.2
2025-10-12 14:44:15,1978,49,36.9
2025-10-12 14:44:30,2060,50,39.3
2025-10-12 14:44:45,2108,50,40.6
2025-10-12 14:45:00,2161,50,42.9
2025-10-12 14:45:15,2152,50,43.0
2025-10-12 14:45:30,2152,61,43.0
2025-10-12 14:45:45,2154,74,44.7
2025-10-12 14:46:00,2161,86,46.7
2025-10-12 14:46:15,2172,99,49.0
2025-10-12 14:46:30,2151,100,52.0
2025-10-12 14:46:45,2083,100,54.9
2025-10-12 14:47:00,2056,100,56.2
2025-10-12 14:47:15,2055,100,57.5
2025-10-12 14:47:30,2072,123,59.8
2025-10-12 14:47:45,2088,148,65.7
2025-10-12 14:48:00,2071,173,76.9
2025-10-12 14:48:15,2053,198,88.5
2025-10-12 14:48:30,2013,200,98.9
2025-10-12 14:48:45,2001,200,103
2025-10-12 14:49:00,2013,200,108
2025-10-12 14:49:15,2017,200,111
2025-10-12 14:49:30,2024,246,116
2025-10-12 14:49:45,2000,296,129
2025-10-12 14:50:00,1963,346,145
2025-10-12 14:50:15,1949,396,168
2025-10-12 14:50:30,1922,400,190
2025-10-12 14:50:45,1934,400,202
2025-10-12 14:51:00,1971,400,211
2025-10-12 14:51:15,1967,400,219
2025-10-12 14:51:30,1970,446,226
2025-10-12 14:51:45,1996,496,234
2025-10-12 14:52:00,2057,546,244
2025-10-12 14:52:15,2116,596,255
2025-10-12 14:52:30,2170,600,267
2025-10-12 14:52:45,2208,600,278
2025-10-12 14:53:00,2227,600,285
2025-10-12 14:53:15,2224,600,291
2025-10-12 14:53:30,2176,323,291
2025-10-12 14:53:45,2098,,
2025-10-12 14:54:00,1545,,
2025-10-12 14:54:15,971,,
2025-10-12 14:54:30,485,,
