Time,requests,K6 VUs,response
2025-01-01 00:00:00,,4,2.69
2025-01-01 00:00:15,839,16,12.9
2025-01-01 00:00:30,1416,28,33.7
2025-01-01 00:00:45,2083,41,51.6
2025-01-01 00:01:00,2563,50,55.0
2025-01-01 00:01:15,2652,50,55.1
2025-01-01 00:01:30,2754,50,55.1
2025-01-01 00:01:45,2787,50,57.4
2025-01-01 00:02:00,2785,54,58.7
2025-01-01 00:02:15,2783,65,59.6
2025-01-01 00:02:30,2811,78,62.5
2025-01-01 00:02:45,2868,90,63.3
2025-01-01 00:03:00,2918,100,65.1
2025-01-01 00:03:15,2928,100,68.4
2025-01-01 00:03:30,2838,100,73.6
2025-01-01 00:03:45,2790,100,78.8
2025-01-01 00:04:00,2773,106,83.0
2025-01-01 00:04:15,2842,131,85.0
2025-01-01 00:04:30,2981,156,87.2
2025-01-01 00:04:45,3006,181,89.3
2025-01-01 00:05:00,3045,200,91.4
2025-01-01 00:05:15,3046,200,92.9
2025-01-01 00:05:30,3040,200,94.1
2025-01-01 00:05:45,3068,200,94.9
2025-01-01 00:06:00,3027,212,95.7
2025-01-01 00:06:15,2987,262,96.9
2025-01-01 00:06:30,2916,316,99.6
2025-01-01 00:06:45,2820,362,106
2025-01-01 00:07:00,2689,400,119
2025-01-01 00:07:15,2630,400,137
2025-01-01 00:07:30,2660,400,156
2025-01-01 00:07:45,2637,400,164
2025-01-01 00:08:00,2700,412,168
2025-01-01 00:08:15,2652,462,175
2025-01-01 00:08:30,2610,512,182
2025-01-01 00:08:45,2575,562,193
2025-01-01 00:09:00,2554,600,201
2025-01-01 00:09:15,2566,600,211
2025-01-01 00:09:30,2570,600,219
2025-01-01 00:09:45,2553,600,227
2025-01-01 00:10:00,2478,612,241
2025-01-01 00:10:15,2482,662,256
2025-01-01 00:10:30,2434,712,270
2025-01-01 00:10:45,2511,766,278
2025-01-01 00:11:00,2663,800,284
2025-01-01 00:11:15,2815,800,288
2025-01-01 00:11:30,2909,800,290
2025-01-01 00:11:45,2879,800,294
2025-01-01 00:12:00,2820,812,297
2025-01-01 00:12:15,2720,862,301
2025-01-01 00:12:30,2690,912,307
2025-01-01 00:12:45,2720,962,314
2025-01-01 00:13:00,2736,1000,327
2025-01-01 00:13:15,2710,1000,348
2025-01-01 00:13:30,2681,1000,366
2025-01-01 00:13:45,2672,1000,376
2025-01-01 00:14:00,2647,1012,383
2025-01-01 00:14:15,2721,1062,386
2025-01-01 00:14:30,2847,1116,388
2025-01-01 00:14:45,2932,1162,392
2025-01-01 00:15:00,2973,1200,396
2025-01-01 00:15:15,2906,1200,401
2025-01-01 00:15:30,2806,1200,406
2025-01-01 00:15:45,2743,1200,412
2025-01-01 00:16:00,2694,1014,420
2025-01-01 00:16:15,2673,450,420
2025-01-01 00:16:30,2427,,
2025-01-01 00:16:45,1757,,
2025-01-01 00:17:00,1085,,
2025-01-01 00:17:15,377,,
