"Time","requests | GET |http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200","K6 VUs","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200"
2026-01-18 21:13:45,,4,2.69
2026-01-18 21:14:00,839,16,12.9
2026-01-18 21:14:15,1416,28,33.7
2026-01-18 21:14:30,2083,41,51.6
2026-01-18 21:14:45,2563,50,55.0
2026-01-18 21:15:00,2652,50,55.1
2026-01-18 21:15:15,2754,50,55.1
2026-01-18 21:15:30,2787,50,57.4
2026-01-18 21:15:45,2785,54,58.7
2026-01-18 21:16:00,2783,65,59.6
2026-01-18 21:16:15,2811,78,62.5
2026-01-18 21:16:30,2868,90,63.3
2026-01-18 21:16:45,2918,100,65.1
2026-01-18 21:17:00,2928,100,68.4
2026-01-18 21:17:15,2838,100,73.6
2026-01-18 21:17:30,2790,100,78.8
2026-01-18 21:17:45,2773,106,83.0
2026-01-18 21:18:00,2842,131,85.0
2026-01-18 21:18:15,2981,156,87.2
2026-01-18 21:18:30,3006,181,89.3
2026-01-18 21:18:45,3045,200,91.4
2026-01-18 21:19:00,3046,200,92.9
2026-01-18 21:19:15,3040,200,94.1
2026-01-18 21:19:30,3068,200,94.9
2026-01-18 21:19:45,3027,212,95.7
2026-01-18 21:20:00,2987,262,96.9
2026-01-18 21:20:15,2916,316,99.6
2026-01-18 21:20:30,2820,362,106
2026-01-18 21:20:45,2689,400,119
2026-01-18 21:21:00,2630,400,137
2026-01-18 21:21:15,2660,400,156
2026-01-18 21:21:30,2637,400,164
2026-01-18 21:21:45,2700,412,168
2026-01-18 21:22:00,2652,462,175
2026-01-18 21:22:15,2610,512,182
2026-01-18 21:22:30,2575,562,193
2026-01-18 21:22:45,2554,600,201
2026-01-18 21:23:00,2566,600,211
2026-01-18 21:23:15,2570,600,219
2026-01-18 21:23:30,2553,600,227
2026-01-18 21:23:45,2478,612,241
2026-01-18 21:24:00,2482,662,256
2026-01-18 21:24:15,2434,712,270
2026-01-18 21:24:30,2511,766,278
2026-01-18 21:24:45,2663,800,284
2026-01-18 21:25:00,2815,800,288
2026-01-18 21:25:15,2909,800,290
2026-01-18 21:25:30,2879,800,294
2026-01-18 21:25:45,2820,812,297
2026-01-18 21:26:00,2720,862,301
2026-01-18 21:26:15,2690,912,307
2026-01-18 21:26:30,2720,962,314
2026-01-18 21:26:45,2736,1000,327
2026-01-18 21:27:00,2710,1000,348
2026-01-18 21:27:15,2681,1000,366
2026-01-18 21:27:30,2672,1000,376
2026-01-18 21:27:45,2647,1012,383
2026-01-18 21:28:00,2721,1062,386
2026-01-18 21:28:15,2847,1116,388
2026-01-18 21:28:30,2932,1162,392
2026-01-18 21:28:45,2973,1200,396
2026-01-18 21:29:00,2906,1200,401
2026-01-18 21:29:15,2806,1200,406
2026-01-18 21:29:30,2743,1200,412
2026-01-18 21:29:45,2694,1014,420
2026-01-18 21:30:00,2673,450,420
2026-01-18 21:30:15,2427,,
2026-01-18 21:30:30,1757,,
2026-01-18 21:30:45,1085,,
2026-01-18 21:31:00,377,,
