Time,POST_requests,K6 VUs,GET_brands_response,GET_types_response,POST_response
2025-01-01 00:00:00,216,8,13.0,140,10.7
2025-01-01 00:00:15,568,20,13.0,140,49.2
2025-01-01 00:00:30,998,32,13.0,140,75.3
2025-01-01 00:00:45,1439,44,13.0,140,80.9
2025-01-01 00:01:00,1705,50,13.0,140,82.1
2025-01-01 00:01:15,1860,50,13.0,140,84.2
2025-01-01 00:01:30,1891,50,13.0,140,85.5
2025-01-01 00:01:45,2067,50,13.0,140,85.3
2025-01-01 00:02:00,2164,57,13.0,140,85.3
2025-01-01 00:02:15,2257,69,13.0,140,85.1
2025-01-01 00:02:30,2324,82,13.0,140,84.9
2025-01-01 00:02:45,2293,94,13.0,140,84.9
2025-01-01 00:03:00,2250,100,13.0,140,85.3
2025-01-01 00:03:15,2242,100,13.0,140,85.5
2025-01-01 00:03:30,2252,100,13.0,140,85.7
2025-01-01 00:03:45,2272,100,13.0,140,86.0
2025-01-01 00:04:00,2263,114,13.0,140,86.5
2025-01-01 00:04:15,2294,139,13.0,140,87.8
2025-01-01 00:04:30,2297,164,13.0,140,92.5
2025-01-01 00:04:45,2317,189,13.0,140,95.5
2025-01-01 00:05:00,2341,200,,,97.3
2025-01-01 00:05:15,2340,200,,,98.4
2025-01-01 00:05:30,2359,200,,,99.3
2025-01-01 00:05:45,2336,200,,,99.9
2025-01-01 00:06:00,2293,228,,,101
2025-01-01 00:06:15,2297,278,,,102
2025-01-01 00:06:30,2280,328,,,108
2025-01-01 00:06:45,2286,378,,,123
2025-01-01 00:07:00,2294,400,,,185
2025-01-01 00:07:15,2273,400,,,191
2025-01-01 00:07:30,2236,400,,,195
2025-01-01 00:07:45,2239,400,,,196
2025-01-01 00:08:00,2237,428,,,198
2025-01-01 00:08:15,2225,478,,,200
2025-01-01 00:08:30,2252,528,,,202
2025-01-01 00:08:45,2271,578,,,207
2025-01-01 00:09:00,2295,600,,,218
2025-01-01 00:09:15,2352,600,,,268
2025-01-01 00:09:30,2349,600,,,283
2025-01-01 00:09:45,2354,600,,,286
2025-01-01 00:10:00,2356,628,,,288
2025-01-01 00:10:15,2378,678,,,291
2025-01-01 00:10:30,2391,728,,,294
2025-01-01 00:10:45,2399,782,,,298
2025-01-01 00:11:00,2407,800,,,301
2025-01-01 00:11:15,2430,800,,,304
2025-01-01 00:11:30,2416,800,,,313
2025-01-01 00:11:45,2367,800,,,319
2025-01-01 00:12:00,2345,828,,,339
2025-01-01 00:12:15,2280,878,,,379
2025-01-01 00:12:30,2250,928,,,386
2025-01-01 00:12:45,2285,978,,,393
2025-01-01 00:13:00,2302,1000,,,398
2025-01-01 00:13:15,2335,1000,,,401
2025-01-01 00:13:30,2354,1000,,,403
2025-01-01 00:13:45,2375,1000,,,406
2025-01-01 00:14:00,2398,716,,,407
2025-01-01 00:14:15,2421,213,,,407
2025-01-01 00:14:30,2046,,,,
2025-01-01 00:14:45,1449,,,,
2025-01-01 00:15:00,833,,,,
2025-01-01 00:15:15,20.5,,,,
