"Time","requests | POST |http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 201","K6 VUs","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/catalogbrands?api-version=1.0 | 200","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/catalogtypes?api-version=1.0 | 200","response | POST | http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 201"
2026-01-18 22:42:15,216,8,13.0,140,10.7
2026-01-18 22:42:30,568,20,13.0,140,49.2
2026-01-18 22:42:45,998,32,13.0,140,75.3
2026-01-18 22:43:00,1439,44,13.0,140,80.9
2026-01-18 22:43:15,1705,50,13.0,140,82.1
2026-01-18 22:43:30,1860,50,13.0,140,84.2
2026-01-18 22:43:45,1891,50,13.0,140,85.5
2026-01-18 22:44:00,2067,50,13.0,140,85.3
2026-01-18 22:44:15,2164,57,13.0,140,85.3
2026-01-18 22:44:30,2257,69,13.0,140,85.1
2026-01-18 22:44:45,2324,82,13.0,140,84.9
2026-01-18 22:45:00,2293,94,13.0,140,84.9
2026-01-18 22:45:15,2250,100,13.0,140,85.3
2026-01-18 22:45:30,2242,100,13.0,140,85.5
2026-01-18 22:45:45,2252,100,13.0,140,85.7
2026-01-18 22:46:00,2272,100,13.0,140,86.0
2026-01-18 22:46:15,2263,114,13.0,140,86.5
2026-01-18 22:46:30,2294,139,13.0,140,87.8
2026-01-18 22:46:45,2297,164,13.0,140,92.5
2026-01-18 22:47:00,2317,189,13.0,140,95.5
2026-01-18 22:47:15,2341,200,,,97.3
2026-01-18 22:47:30,2340,200,,,98.4
2026-01-18 22:47:45,2359,200,,,99.3
2026-01-18 22:48:00,2336,200,,,99.9
2026-01-18 22:48:15,2293,228,,,101
2026-01-18 22:48:30,2297,278,,,102
2026-01-18 22:48:45,2280,328,,,108
2026-01-18 22:49:00,2286,378,,,123
2026-01-18 22:49:15,2294,400,,,185
2026-01-18 22:49:30,2273,400,,,191
2026-01-18 22:49:45,2236,400,,,195
2026-01-18 22:50:00,2239,400,,,196
2026-01-18 22:50:15,2237,428,,,198
2026-01-18 22:50:30,2225,478,,,200
2026-01-18 22:50:45,2252,528,,,202
2026-01-18 22:51:00,2271,578,,,207
2026-01-18 22:51:15,2295,600,,,218
2026-01-18 22:51:30,2352,600,,,268
2026-01-18 22:51:45,2349,600,,,283
2026-01-18 22:52:00,2354,600,,,286
2026-01-18 22:52:15,2356,628,,,288
2026-01-18 22:52:30,2378,678,,,291
2026-01-18 22:52:45,2391,728,,,294
2026-01-18 22:53:00,2399,782,,,298
2026-01-18 22:53:15,2407,800,,,301
2026-01-18 22:53:30,2430,800,,,304
2026-01-18 22:53:45,2416,800,,,313
2026-01-18 22:54:00,2367,800,,,319
2026-01-18 22:54:15,2345,828,,,339
2026-01-18 22:54:30,2280,878,,,379
2026-01-18 22:54:45,2250,928,,,386
2026-01-18 22:55:00,2285,978,,,393
2026-01-18 22:55:15,2302,1000,,,398
2026-01-18 22:55:30,2335,1000,,,401
2026-01-18 22:55:45,2354,1000,,,403
2026-01-18 22:56:00,2375,1000,,,406
2026-01-18 22:56:15,2398,716,,,407
2026-01-18 22:56:30,2421,213,,,407
2026-01-18 22:56:45,2046,,,,
2026-01-18 22:57:00,1449,,,,
2026-01-18 22:57:15,833,,,,
2026-01-18 22:57:30,20.5,,,,
