Time,requests,K6 VUs,response
2025-01-01 00:00:00,0,4,1.66
2025-01-01 00:00:15,833,16,5.70
2025-01-01 00:00:30,1613,28,12.3
2025-01-01 00:00:45,2445,40,20.1
2025-01-01 00:01:00,3140,50,33.3
2025-01-01 00:01:15,3276,50,52.7
2025-01-01 00:01:30,3342,50,54.1
2025-01-01 00:01:45,3343,50,56.8
2025-01-01 00:02:00,3329,53,57.7
2025-01-01 00:02:15,3338,65,57.8
2025-01-01 00:02:30,3288,78,58.3
2025-01-01 00:02:45,3281,90,59.6
2025-01-01 00:03:00,3249,100,60.1
2025-01-01 00:03:15,3234,100,61.3
2025-01-01 00:03:30,3245,100,62.4
2025-01-01 00:03:45,3271,100,63.4
2025-01-01 00:04:00,3268,106,64.2
2025-01-01 00:04:15,3281,131,64.4
2025-01-01 00:04:30,3265,156,64.6
2025-01-01 00:04:45,3248,181,66.8
2025-01-01 00:05:00,3210,200,70.9
2025-01-01 00:05:15,3183,200,75.0
2025-01-01 00:05:30,3146,200,77.9
2025-01-01 00:05:45,3144,200,80.1
2025-01-01 00:06:00,3128,212,82.1
2025-01-01 00:06:15,3095,262,85.8
2025-01-01 00:06:30,3042,312,92.8
2025-01-01 00:06:45,3014,362,101
2025-01-01 00:07:00,2999,400,112
2025-01-01 00:07:15,3029,400,123
2025-01-01 00:07:30,3025,400,133
2025-01-01 00:07:45,3030,400,140
2025-01-01 00:08:00,3034,412,146
2025-01-01 00:08:15,3040,462,152
2025-01-01 00:08:30,3041,512,162
2025-01-01 00:08:45,3119,562,171
2025-01-01 00:09:00,3245,600,178
2025-01-01 00:09:15,3406,600,184
2025-01-01 00:09:30,3529,600,188
2025-01-01 00:09:45,3662,600,190
2025-01-01 00:10:00,3683,612,192
2025-01-01 00:10:15,3674,662,195
2025-01-01 00:10:30,3701,712,199
2025-01-01 00:10:45,3690,762,204
2025-01-01 00:11:00,3714,800,208
2025-01-01 00:11:15,3722,800,214
2025-01-01 00:11:30,3705,800,218
2025-01-01 00:11:45,3717,800,222
2025-01-01 00:12:00,3706,812,226
2025-01-01 00:12:15,3701,865,231
2025-01-01 00:12:30,3689,912,237
2025-01-01 00:12:45,3672,962,246
2025-01-01 00:13:00,3667,1000,255
2025-01-01 00:13:15,3678,1000,263
2025-01-01 00:13:30,3677,1000,270
2025-01-01 00:13:45,3692,1000,275
2025-01-01 00:14:00,3665,1012,280
2025-01-01 00:14:15,3661,1062,285
2025-01-01 00:14:30,3589,1112,292
2025-01-01 00:14:45,3546,1162,300
2025-01-01 00:15:00,3518,1200,309
2025-01-01 00:15:15,3527,1200,317
2025-01-01 00:15:30,3568,1200,325
2025-01-01 00:15:45,3545,1200,333
2025-01-01 00:16:00,3431,1056,341
2025-01-01 00:16:15,3374,452,341
