"Time","requests | GET |http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200","K6 VUs","response | GET | http://catalog-api.default.svc.cluster.local:8080/api/catalog/items?api-version=1.0 | 200"
2026-03-15 00:35:45,,4,1.66
2026-03-15 00:36:00,833,16,5.70
2026-03-15 00:36:15,1613,28,12.3
2026-03-15 00:36:30,2445,40,20.1
2026-03-15 00:36:45,3140,50,33.3
2026-03-15 00:37:00,3276,50,52.7
2026-03-15 00:37:15,3342,50,54.1
2026-03-15 00:37:30,3343,50,56.8
2026-03-15 00:37:45,3329,53,57.7
2026-03-15 00:38:00,3338,65,57.8
2026-03-15 00:38:15,3288,78,58.3
2026-03-15 00:38:30,3281,90,59.6
2026-03-15 00:38:45,3249,100,60.1
2026-03-15 00:39:00,3234,100,61.3
2026-03-15 00:39:15,3245,100,62.4
2026-03-15 00:39:30,3271,100,63.4
2026-03-15 00:39:45,3268,106,64.2
2026-03-15 00:40:00,3281,131,64.4
2026-03-15 00:40:15,3265,156,64.6
2026-03-15 00:40:30,3248,181,66.8
2026-03-15 00:40:45,3210,200,70.9
2026-03-15 00:41:00,3183,200,75.0
2026-03-15 00:41:15,3146,200,77.9
2026-03-15 00:41:30,3144,200,80.1
2026-03-15 00:41:45,3128,212,82.1
2026-03-15 00:42:00,3095,262,85.8
2026-03-15 00:42:15,3042,312,92.8
2026-03-15 00:42:30,3014,362,101
2026-03-15 00:42:45,2999,400,112
2026-03-15 00:43:00,3029,400,123
2026-03-15 00:43:15,3025,400,133
2026-03-15 00:43:30,3030,400,140
2026-03-15 00:43:45,3034,412,146
2026-03-15 00:44:00,3040,462,152
2026-03-15 00:44:15,3041,512,162
2026-03-15 00:44:30,3119,562,171
2026-03-15 00:44:45,3245,600,178
2026-03-15 00:45:00,3406,600,184
2026-03-15 00:45:15,3529,600,188
2026-03-15 00:45:30,3662,600,190
2026-03-15 00:45:45,3683,612,192
2026-03-15 00:46:00,3674,662,195
2026-03-15 00:46:15,3701,712,199
2026-03-15 00:46:30,3690,762,204
2026-03-15 00:46:45,3714,800,208
2026-03-15 00:47:00,3722,800,214
2026-03-15 00:47:15,3705,800,218
2026-03-15 00:47:30,3717,800,222
2026-03-15 00:47:45,3706,812,226
2026-03-15 00:48:00,3701,865,231
2026-03-15 00:48:15,3689,912,237
2026-03-15 00:48:30,3672,962,246
2026-03-15 00:48:45,3667,1000,255
2026-03-15 00:49:00,3678,1000,263
2026-03-15 00:49:15,3677,1000,270
2026-03-15 00:49:30,3692,1000,275
2026-03-15 00:49:45,3665,1012,280
2026-03-15 00:50:00,3661,1062,285
2026-03-15 00:50:15,3589,1112,292
2026-03-15 00:50:30,3546,1162,300
2026-03-15 00:50:45,3518,1200,309
2026-03-15 00:51:00,3527,1200,317
2026-03-15 00:51:15,3568,1200,325
2026-03-15 00:51:30,3545,1200,333
2026-03-15 00:51:45,3431,1056,341
2026-03-15 00:52:00,3374,452,341
2026-03-15 00:52:15,3059,,
2026-03-15 00:52:30,2214,,
2026-03-15 00:52:45,1333,,
2026-03-15 00:53:00,408,,
